1 zeta		surface elevation		[m]
2 t		potential temperature		[K]
3 utot		zonal velocity component	[m/s]
4 vtot		meridional velocity component	[m/s] 
5 s		salinity			[0/00]
7 w		vertical velocity component	[m/s] 
13 sice		ice thickness			[m]
18 fluxhea	heat flux			[W/m2] 
27 psi		horizontal barotropic stream function	[m3/s] 
37 ub		zonal component of barotropic velocity	[m/s] 
38 vb		meridional component of barotropic velocity	[m/s]
40 wet		land-sea mask for scalar points	[0-1]
41 wetvec	land-sea mask for vector points	[0-1] 
52 taux		zonal component of wind stress	[Pa] 
53 tauy		meridional component of wind stress	[Pa] 
62 tc		potential temperature		[C]
65 fluwat	net fresh water flux (P-E)	[m/s] 
66 convadd	potential energy dissipation due to convection	[mW/m2]
67 flukwat	fresh water flux due to Newtonian coupling	[m/s] 
68 flukhea	heat flux due to Newtonian coupling	[W/m2] 
69 convad	convective adjustment events	[1]
80 fldsst	sst differences lsg-plasim	[K]
81 fldice	ice-differences lsg-plasim	[1]
82 fldpme	pme-differences lsg-plasim	[m/s]
83 fldtaux	taux-differences lsg-plasim	[Pa]
84 fldtauy	tauy-differences lsg-plasim	[Pa]
92 tbound	boundary value of t		[K]
97 dQ/dt 	coupling coefficient		[W/m2K] 
98 depp		depth in scalar-points		[m] 
99 depv		depth in vector-points		[m] 
